Student_ID,Semester,GPA,Attendance_per_Subject,Quiz_Score,Assignment_Completion,LMS_Activity,Weekly_Study_Hour,Social_Interaction_Score,Achievement_Points,Internship_Points,Financial_Support_Score,Scholarship_Status,Risk_Label
STU_00201,7,3.59,78.2,78,74.8,82,12.2,33,30,40,77,1,0
STU_00202,8,3.36,79.13,90,73.54,87,13.4,3,0,0,83,0,0
STU_00203,7,3.28,86.29,48,71.98,99,8.3,56,15,0,44,1,0
STU_00204,1,2.88,83.2,82,88.8,13,4.1,2,0,20,46,0,0
STU_00205,4,3.79,82.28,58,94.76,64,1.2,22,0,0,69,1,0
STU_00206,5,3.39,76.23,33,75.7,23,19.3,4,50,0,30,1,0
STU_00207,8,3.58,64.74,50,90.66,25,6.0,16,15,20,31,0,1
STU_00208,4,3.61,70.52,80,87.66,73,12.4,73,0,30,63,0,0
STU_00209,6,3.93,79.33,81,93.55,99,7.0,15,50,0,75,1,0
STU_00210,5,3.26,88.14,37,97.95,99,9.0,46,0,0,80,0,0
STU_00211,7,3.44,68.66,39,89.46,33,8.5,50,0,0,48,0,1
STU_00212,7,3.68,83.97,50,95.81,100,1.6,78,30,0,79,0,0
STU_00213,5,3.51,57.44,61,91.23,26,7.5,14,0,20,81,0,0
STU_00214,7,3.26,70.01,67,85.92,44,7.6,92,0,40,68,0,0
STU_00215,3,3.43,82.77,74,71.81,16,18.8,31,30,0,32,0,1
STU_00216,5,2.94,88.15,79,83.82,90,6.5,27,15,20,34,0,1
STU_00217,4,3.56,95.81,86,89.11,29,15.6,65,0,0,48,0,0
STU_00218,5,3.3,81.61,37,97.4,13,2.7,41,30,0,60,1,0
STU_00219,8,2.7,70.77,83,81.09,12,8.1,6,0,0,34,0,1
STU_00220,7,3.66,69.07,95,93.94,30,10.9,24,30,0,79,0,0
STU_00221,3,2.82,83.67,49,97.01,78,13.8,3,15,0,74,0,0
STU_00222,3,03.02,78.2,84,83.51,60,16.7,49,0,0,34,0,1
STU_00223,6,3.82,92.88,77,83.92,63,3.1,91,0,20,73,0,0
STU_00224,4,3.48,78.79,36,90.27,67,11.8,2,0,0,54,0,0
STU_00225,2,3.64,83.49,87,99.15,75,4.9,41,0,0,37,0,1
STU_00226,2,3.71,82.49,34,94.44,67,19.2,32,30,0,49,0,0
STU_00227,5,3.8,93.54,34,57.3,38,16.9,91,15,0,39,1,0
STU_00228,6,3.34,75.73,93,86.94,91,6.4,22,0,0,53,0,0
STU_00229,1,3.49,97.26,88,87.6,48,9.0,24,0,30,33,0,1
STU_00230,5,3.44,99.28,89,81.29,97,4.2,96,15,0,33,0,1
STU_00231,6,3.79,85.77,73,84.62,80,6.3,88,50,20,39,0,1
STU_00232,4,3.31,73.73,80,91.45,52,7.7,80,50,0,94,0,0
STU_00233,4,3.47,80.63,46,98.08,73,18.9,44,15,0,73,0,0
STU_00234,4,3.64,86.97,45,75.27,33,16.3,61,15,0,93,0,0
STU_00235,4,3.4,60.48,59,77.79,88,6.7,80,30,0,54,1,1
STU_00236,4,3.12,81.27,63,96.05,27,12.7,92,0,30,54,0,0
STU_00237,6,3.26,79.01,87,98.21,88,13.9,56,30,20,57,0,0
STU_00238,6,3.49,77.9,66,88.1,72,7.1,16,15,20,67,0,0
STU_00239,3,3.51,62.72,51,91.83,15,7.6,2,15,40,79,0,0
STU_00240,8,3.66,91.97,58,81.67,65,3.3,90,50,0,99,0,0
STU_00241,2,03.03,71.8,95,99.5,51,9.2,64,0,0,48,0,0
STU_00242,7,3.45,87.15,55,77.64,89,14.0,39,0,0,78,1,0
STU_00243,4,3.76,80.33,80,92.84,98,10.9,17,0,0,58,0,0
STU_00244,1,3.68,94.51,36,84.61,72,13.6,71,0,0,71,0,0
STU_00245,7,2.58,94.23,40,65.63,59,5.9,56,0,0,83,1,0
STU_00246,6,3.47,93.94,49,82.04,31,13.4,0,30,0,49,0,0
STU_00247,1,03.02,79.49,95,93.43,68,8.2,42,0,0,86,0,0
STU_00248,1,3.13,88.76,64,76.81,92,9.5,13,0,40,34,1,0
STU_00249,1,3.11,76.8,38,85.4,83,17.2,44,15,0,44,0,0
STU_00250,3,3.35,59.24,37,97.18,72,15.0,37,15,0,30,0,1
STU_00251,6,3.92,90.35,96,62.85,100,16.5,76,0,0,60,0,0
STU_00252,1,3.41,94.23,76,91.87,55,8.3,44,0,0,59,0,0
STU_00253,4,3.33,47.62,83,67.43,44,7.0,69,15,0,33,0,1
STU_00254,5,2.72,89.3,97,93.46,53,18.9,29,0,0,59,1,0
STU_00255,1,3.19,79.95,63,99.09,71,14.2,88,0,40,57,0,0
STU_00256,3,3.75,83.05,77,79.78,89,16.4,64,0,20,40,1,0
STU_00257,7,2.92,75.0,53,91.27,65,9.2,78,0,40,71,1,0
STU_00258,6,3.15,73.8,98,91.37,86,13.3,87,15,30,83,0,0
STU_00259,8,2.81,78.38,100,80.35,56,17.3,7,0,0,65,0,0
STU_00260,3,2.96,97.46,33,85.03,36,14.7,62,0,0,46,1,0
STU_00261,1,3.28,78.88,82,83.6,48,12.3,9,0,20,52,0,0
STU_00262,6,3.22,80.59,94,90.75,43,17.8,36,0,0,44,1,0
STU_00263,5,3.84,66.83,90,80.56,70,2.7,81,0,0,70,0,0
STU_00264,1,2.56,84.02,87,89.65,75,2.6,51,50,0,100,1,0
STU_00265,3,3.73,63.54,76,99.31,23,9.5,23,0,40,35,0,1
STU_00266,2,2.86,80.8,55,87.68,98,13.7,53,0,0,45,0,0
STU_00267,4,3.68,74.45,70,94.8,86,18.8,34,15,30,45,0,0
STU_00268,8,3.35,90.66,66,84.92,58,3.4,76,0,30,89,0,0
STU_00269,7,3.22,80.95,33,90.22,16,15.8,31,0,30,99,0,0
STU_00270,3,03.03,85.87,87,78.78,15,9.6,91,30,20,66,0,0
STU_00271,6,3.87,84.02,56,92.83,49,18.8,52,0,0,78,0,0
STU_00272,8,3.63,61.48,83,89.99,53,5.9,70,0,30,61,0,0
STU_00273,8,3.48,95.87,53,61.29,47,2.4,22,0,20,95,0,0
STU_00274,8,3.65,98.29,53,67.4,27,18.4,20,0,0,37,0,1
STU_00275,1,2.4,87.55,56,85.28,36,3.0,78,15,0,83,0,1
STU_00276,4,3.86,86.85,44,89.07,46,14.1,33,0,0,44,0,0
STU_00277,1,3.88,98.28,88,68.23,61,13.5,95,0,0,90,1,0
STU_00278,6,3.29,85.89,32,89.12,65,10.8,80,0,20,85,0,0
STU_00279,1,3.0,99.25,91,93.73,12,13.1,23,15,40,35,1,0
STU_00280,2,2.88,92.98,81,91.27,61,18.7,93,30,0,78,0,0
STU_00281,4,3.91,93.55,66,97.33,86,5.9,56,0,0,78,0,0
STU_00282,4,2.85,96.24,60,94.37,27,6.7,74,0,20,71,1,0
STU_00283,6,3.4,98.59,31,96.28,95,6.4,35,15,0,59,1,0
STU_00284,7,2.68,73.1,80,88.02,98,15.2,33,0,0,51,0,0
STU_00285,2,3.83,93.75,53,92.08,10,14.3,83,15,0,74,0,0
STU_00286,3,2.62,92.9,89,87.11,36,5.0,22,0,0,74,0,0
STU_00287,1,3.74,77.8,62,92.91,37,17.3,3,0,20,54,0,0
STU_00288,5,2.96,93.6,76,95.52,34,18.9,67,0,0,87,1,0
STU_00289,1,3.47,87.66,93,88.39,86,14.9,56,0,0,60,0,0
STU_00290,8,3.36,98.02,75,73.08,42,15.5,51,50,40,92,1,0
STU_00291,1,03.07,74.66,78,88.64,96,17.2,85,0,20,31,0,1
STU_00292,3,3.55,92.95,33,77.3,17,8.2,83,0,0,77,0,0
STU_00293,1,3.4,50.15,77,79.65,33,10.0,75,15,0,92,0,0
STU_00294,2,03.09,98.91,36,92.49,91,18.4,51,0,0,39,1,0
STU_00295,2,3.48,86.32,59,97.94,75,15.9,7,50,30,45,0,0
STU_00296,4,2.77,90.2,78,92.75,69,4.8,69,15,0,80,0,0
STU_00297,6,03.07,77.89,54,73.93,21,16.4,81,15,0,40,0,0
STU_00298,7,3.51,82.77,69,96.75,25,6.2,27,30,0,57,0,0
STU_00299,5,3.72,81.92,49,94.51,13,14.6,87,15,40,95,1,0
STU_00300,8,3.71,72.53,93,72.22,41,10.1,74,50,30,77,0,0
STU_00301,1,3.54,92.8,77,93.56,98,18.6,85,0,20,54,1,0
STU_00302,1,3.75,99.38,93,78.72,49,19.1,92,0,20,91,0,0
STU_00303,3,3.93,97.18,72,80.65,75,19.2,44,0,0,48,1,0
STU_00304,6,03.07,81.17,60,98.49,32,9.0,50,15,20,32,0,1
STU_00305,2,3.53,95.56,55,82.32,46,7.0,76,0,0,89,0,0
STU_00306,5,3.37,91.74,46,71.4,14,19.2,35,0,40,55,0,0
STU_00307,4,3.24,97.14,83,85.66,85,1.0,41,0,0,100,1,0
STU_00308,2,3.69,88.75,61,93.62,99,11.5,93,0,0,57,0,0
STU_00309,8,3.84,76.3,50,98.66,63,12.4,36,0,0,43,1,0
STU_00310,6,3.46,44.03,47,69.55,22,5.9,66,0,0,70,0,1
STU_00311,8,3.23,52.34,74,83.58,21,4.4,14,0,0,79,0,0
STU_00312,7,3.13,96.14,86,91.79,98,6.0,89,0,0,63,1,0
STU_00313,4,3.45,68.86,88,93.24,18,6.5,68,0,30,45,1,0
STU_00314,7,3.81,82.12,37,71.76,53,7.2,40,0,0,99,0,0
STU_00315,3,2.87,70.79,48,93.71,51,11.7,95,15,0,83,1,0
STU_00316,8,3.11,96.76,66,94.59,67,18.4,91,30,0,75,0,0
STU_00317,3,3.12,76.2,99,91.26,82,2.1,55,15,30,52,0,0
STU_00318,1,3.75,94.93,83,88.95,90,15.6,58,15,0,47,1,0
STU_00319,7,3.34,84.47,35,93.98,39,12.4,84,0,20,68,1,0
STU_00320,6,3.76,92.34,87,87.29,17,12.3,99,0,0,90,1,0
STU_00321,8,3.6,96.18,77,93.46,80,18.9,60,15,20,63,0,0
STU_00322,5,3.44,78.98,50,78.19,48,11.2,39,30,0,52,1,0
STU_00323,4,3.45,75.8,84,97.01,72,12.2,98,0,0,70,0,0
STU_00324,2,3.18,70.34,84,81.55,93,9.4,78,30,0,48,0,0
STU_00325,6,2.49,74.28,43,76.46,72,14.1,93,15,30,88,0,1
STU_00326,6,3.21,76.5,44,93.87,28,14.6,69,15,20,86,0,0
STU_00327,3,3.78,88.43,83,87.02,64,14.3,76,15,20,69,0,0
STU_00328,7,2.89,71.2,36,95.5,99,5.2,10,50,0,70,0,0
STU_00329,8,3.51,57.2,61,66.36,13,12.4,26,0,0,50,0,0
STU_00330,8,3.65,88.45,62,97.8,66,15.5,86,0,20,35,0,1
STU_00331,1,3.15,72.58,46,97.29,79,5.9,25,0,0,98,1,0
STU_00332,1,3.26,77.29,48,85.67,47,10.8,21,15,20,49,0,0
STU_00333,4,3.65,87.6,70,98.27,78,2.5,49,0,0,80,0,0
STU_00334,3,3.33,81.11,62,87.43,80,10.8,19,0,40,82,0,0
STU_00335,6,3.55,88.49,81,76.69,83,12.6,5,15,0,83,1,0
STU_00336,8,3.28,68.71,55,95.41,54,7.0,46,0,0,90,0,1
STU_00337,5,3.65,77.15,62,84.01,30,15.4,25,30,0,49,0,0
STU_00338,3,3.72,83.65,61,90.66,52,1.8,50,0,0,72,0,0
STU_00339,4,3.7,96.87,90,92.4,35,1.1,54,30,0,65,0,0
STU_00340,4,2.58,76.65,56,95.38,87,16.0,12,15,20,47,1,0
STU_00341,3,2.75,94.45,39,85.97,43,5.8,15,15,30,36,0,1
STU_00342,4,3.62,84.56,66,98.42,56,13.6,71,0,20,99,0,0
STU_00343,3,3.6,84.74,69,95.67,55,19.2,40,0,0,40,1,0
STU_00344,2,3.69,84.66,36,92.21,77,5.5,10,0,0,49,1,0
